asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source
wind_existing_cabo_negro,wind_existing,cabo_negro,wind,0,0,1,2.55,0,2025,2025,2025,fixed,TRUE,3,Inherited unchanged from the Punta Arenas case: Pecket Cabo Negro
ocgt_existing_punta_arenas_centro,ocgt_existing,punta_arenas_centro,ocgt,0,,,80,0,2025,2025,2025,fixed,TRUE,1,Inherited unchanged from the simplified Punta Arenas case
thermal_existing_puerto_natales,thermal_existing,puerto_natales,ocgt,0,,,17.575,0,2025,2025,2025,fixed,TRUE,15,Aggregated CNE existing units plus 0.85 MW additions through 2024; verify retirements before publication
thermal_existing_porvenir,thermal_existing,porvenir,ocgt,0,,,13.845,0,2025,2025,2025,fixed,TRUE,14,Aggregated CNE existing units plus 0.965 MW additions through 2023; verify retirements before publication
diesel_existing_puerto_williams,diesel_existing,puerto_williams,diesel,0,,,2.65,0,2025,2025,2025,fixed,TRUE,6,CNE ITD Table 4-38: recognised Edelmag diesel capacity
lpg_existing_puerto_williams,lpg_existing,puerto_williams,lpg,0,,,0.965,0,2025,2025,2025,fixed,TRUE,1,CNE ITD Table 4-38: Inersa GLP capacity after May 2025
wind_flexible_cabo_negro,wind_flexible,cabo_negro,wind,,,,2500,0,2030,2030,,flexible,TRUE,1,Inherited Punta Arenas planning upper bound
solar_utility_flexible_cabo_negro,solar_utility_flexible,cabo_negro,solar,,,,1500,0,2030,2030,,flexible,TRUE,1,Inherited Punta Arenas planning upper bound
pv_residential_flexible_punta_arenas_centro,pv_residential_flexible,punta_arenas_centro,solar,80000,0,1,150,0,2030,2030,,flexible,TRUE,1,Inherited Punta Arenas residential-PV planning upper bound
wind_flexible_puerto_natales,wind_flexible,puerto_natales,wind,,,,500,0,2030,2030,,flexible,TRUE,1,Non-binding regional planning upper bound
solar_flexible_puerto_natales,solar_flexible,puerto_natales,solar,,,,300,0,2030,2030,,flexible,TRUE,1,Non-binding regional planning upper bound
wind_flexible_porvenir,wind_flexible,porvenir,wind,,,,300,0,2030,2030,,flexible,TRUE,1,Non-binding regional planning upper bound
solar_flexible_porvenir,solar_flexible,porvenir,solar,,,,200,0,2030,2030,,flexible,TRUE,1,Non-binding regional planning upper bound
wind_flexible_puerto_williams,wind_flexible,puerto_williams,wind,,,,50,0,2030,2030,,flexible,TRUE,1,Non-binding regional planning upper bound
solar_flexible_puerto_williams,solar_flexible,puerto_williams,solar,,,,30,0,2030,2030,,flexible,TRUE,1,Non-binding regional planning upper bound
