technology,year,base_year,capital_cost,marginal_cost,efficiency,max_hours,efficiency_store,efficiency_dispatch,standing_loss,co2_emissions,annual_change,capital_cost_annual_change,marginal_cost_annual_change,co2_emissions_annual_change,unit,source
wind,2030,2030,110000,0,1,,,,,0,,-0.01,,,USD/MW-year and USD/MWh,Punta Arenas planning assumption
solar,2030,2030,60000,0,1,,,,,0,,-0.02,,,USD/MW-year and USD/MWh,Punta Arenas planning assumption
ocgt,2030,2030,45000,140,0.38,,,,,0.202,,,0.015,,USD/MW-year and USD/MWh,Punta Arenas natural-gas thermal proxy
diesel,2030,2030,45000,250,0.38,,,,,0.267,,,0.015,,USD/MW-year and USD/MWh,Planning proxy for diesel generation
lpg,2030,2030,45000,200,0.38,,,,,0.227,,,0.015,,USD/MW-year and USD/MWh,Planning proxy for Puerto Williams GLP generation
bess,2030,2030,75000,0,,4,0.95,0.95,0.001,0,,-0.015,,,USD/MW-year and USD/MWh,Punta Arenas 4-hour BESS reference
electrolyzer,2030,2030,90000,0,0.7,,,,,0,,-0.01,,,USD/MW-year and USD/MWh,Punta Arenas surface-H2 planning assumption
h2_fuel_cell,2030,2030,100000,0,0.55,,,,,0,,-0.01,,,USD/MW-year and USD/MWh,Punta Arenas surface-H2 planning assumption
hydrogen_storage,2030,2030,2500,0,,,,,0.0005,0,,0,,,USD/MWh-H2-year and USD/MWh,Above-ground hydrogen tank planning assumption
natural_gas,2030,2030,0,45,1,,,,,0.202,,,0.02,0,USD/MWh,Punta Arenas planning assumption; heat disabled in this case
